Time[s], Channel 7
20.2963, 1
20.296304, 0
20.29631, 1
20.296312, 0
20.296332, 1
20.296336, 0
20.296364, 1
20.296366, 0
20.363612, 1
20.403868, 0
20.40387, 1
20.403872, 0
20.403878, 1
20.403882, 0
20.403894, 1
20.403896, 0
20.4039, 1
20.403908, 0
20.473712, 1
20.513028, 0
20.51303, 1
20.513032, 0
20.513038, 1
20.513042, 0
20.513062, 1
20.513066, 0
20.513094, 1
20.513096, 0
20.587062, 1
20.631708, 0
20.63171, 1
20.631712, 0
20.631718, 1
20.631722, 0
20.63174, 1
20.631748, 0
20.631772, 1
20.631776, 0
20.707812, 1
20.750566, 0
20.750568, 1
20.75057, 0
20.750576, 1
20.75058, 0
20.750598, 1
20.750604, 0
20.75063, 1
20.750632, 0
20.833138, 1
20.88311, 0
20.883112, 1
20.883114, 0
20.88312, 1
20.883124, 0
20.883142, 1
20.883148, 0
20.883174, 1
20.883178, 0
20.968996, 1
21.016916, 0
21.016918, 1
21.01692, 0
21.016926, 1
21.01693, 0
21.016948, 1
21.016954, 0
21.01698, 1
21.016984, 0
21.110758, 1
21.167092, 0
21.167094, 1
21.167096, 0
21.167104, 1
21.167106, 0
21.167118, 1
21.16712, 0
21.167126, 1
21.167132, 0
21.167158, 1
21.16716, 0
21.263484, 1
21.318536, 0
21.318542, 1
21.318546, 0
21.318564, 1
21.31857, 0
21.318596, 1
21.318598, 0
21.425352, 1
21.488476, 0
21.488478, 1
21.48848, 0
21.488486, 1
21.48849, 0
21.488508, 1
21.488514, 0
21.48854, 1
21.488544, 0
21.593134, 1
21.651722, 0
21.651724, 1
21.651726, 0
21.651732, 1
21.651736, 0
21.651754, 1
21.65176, 0
21.651786, 1
21.651788, 0
21.766512, 1
21.834696, 0
21.834698, 1
21.8347, 0
21.834706, 1
21.83471, 0
21.834722, 1
21.834724, 0
21.834728, 1
21.834736, 0
21.834762, 1
21.834764, 0
21.953316, 1
22.020018, 0
22.02002, 1
22.020022, 0
22.020028, 1
22.020032, 0
22.02005, 1
